system:time_start,B2 1986-09-01,B2 1987-09-01,B2 1988-09-01,B2 1989-09-01,B2 1990-09-01,B2 1991-09-01,B2 1992-09-01,B2 1993-09-01,B2 1994-09-01,B2 1995-09-01,B2 1996-09-01,B2 1997-09-01,B2 1998-09-01,B2 1999-09-01,B2 2000-09-01,B2 2001-09-01,B2 2002-09-01,B2 2003-09-01,B2 2004-09-01,B2 2005-09-01,B2 2006-09-01,B2 2007-09-01,B2 2008-09-01,B2 2009-09-01,B2 2010-09-01,B2 2011-09-01,B2 2012-09-01,B2 2013-09-01,B2 2014-09-01,B2 2015-09-01,B2 2016-09-01,B2 2017-09-01,B2 2018-09-01,B2 2019-09-01,B2 2020-09-01,B2 2021-09-01,B2 2022-09-01,B2 2023-09-01,B2 2024-09-01
"Sep 1, 1986",758.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1987",,675.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1988",,,"1,044.069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1989",,,,596.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1990",,,,,716.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1991",,,,,,882.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1992",,,,,,,972.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1993",,,,,,,,813.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1994",,,,,,,,,486.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1995",,,,,,,,,,729.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1996",,,,,,,,,,,374.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1997",,,,,,,,,,,,722.322,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1998",,,,,,,,,,,,,500.952,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1999",,,,,,,,,,,,,,539.307,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2000",,,,,,,,,,,,,,,460.664,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2001",,,,,,,,,,,,,,,,965.575,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2002",,,,,,,,,,,,,,,,,536.056,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2003",,,,,,,,,,,,,,,,,,596.862,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2004",,,,,,,,,,,,,,,,,,,417.266,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2005",,,,,,,,,,,,,,,,,,,,734.673,,,,,,,,,,,,,,,,,,,
"Sep 1, 2006",,,,,,,,,,,,,,,,,,,,,588.828,,,,,,,,,,,,,,,,,,
"Sep 1, 2007",,,,,,,,,,,,,,,,,,,,,,544.468,,,,,,,,,,,,,,,,,
"Sep 1, 2008",,,,,,,,,,,,,,,,,,,,,,,632.308,,,,,,,,,,,,,,,,
"Sep 1, 2009",,,,,,,,,,,,,,,,,,,,,,,,474.464,,,,,,,,,,,,,,,
"Sep 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,500.301,,,,,,,,,,,,,,
"Sep 1, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,541.112,,,,,,,,,,,,,
"Sep 1, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,705.955,,,,,,,,,,,,
"Sep 1, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,546.58,,,,,,,,,,,
"Sep 1, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.278,,,,,,,,,,
"Sep 1, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.401,,,,,,,,,
"Sep 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.223,,,,,,,,
"Sep 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.106,,,,,,,
"Sep 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.509,,,,,,
"Sep 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.117,,,,,
"Sep 1, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.915,,,,
"Sep 1, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.911,,,
"Sep 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.488,,
"Sep 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.12,
"Sep 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.785
