system:time_start,B2 1984-09-01,B2 1985-09-01,B2 1986-09-01,B2 1987-09-01,B2 1988-09-01,B2 1989-09-01,B2 1990-09-01,B2 1991-09-01,B2 1992-09-01,B2 1993-09-01,B2 1994-09-01,B2 1995-09-01,B2 1996-09-01,B2 1997-09-01,B2 1998-09-01,B2 1999-09-01,B2 2000-09-01,B2 2001-09-01,B2 2002-09-01,B2 2003-09-01,B2 2004-09-01,B2 2005-09-01,B2 2006-09-01,B2 2007-09-01,B2 2008-09-01,B2 2009-09-01,B2 2010-09-01,B2 2011-09-01,B2 2012-09-01,B2 2013-09-01,B2 2014-09-01,B2 2015-09-01,B2 2016-09-01,B2 2017-09-01,B2 2018-09-01,B2 2019-09-01,B2 2020-09-01,B2 2021-09-01,B2 2022-09-01,B2 2023-09-01,B2 2024-09-01
"Sep 1, 1984",868.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1985",,"1,779.133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1986",,,899.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1987",,,,975.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1988",,,,,868.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1989",,,,,,"1,089.553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1990",,,,,,,966.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1991",,,,,,,,859.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1992",,,,,,,,,"1,023.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1993",,,,,,,,,,684.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1994",,,,,,,,,,,691.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1995",,,,,,,,,,,,650.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1996",,,,,,,,,,,,,781.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1997",,,,,,,,,,,,,,650.242,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1998",,,,,,,,,,,,,,,701.628,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1999",,,,,,,,,,,,,,,,694.855,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2000",,,,,,,,,,,,,,,,,640.346,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2001",,,,,,,,,,,,,,,,,,665.567,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2002",,,,,,,,,,,,,,,,,,,773.489,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2003",,,,,,,,,,,,,,,,,,,,620.134,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2004",,,,,,,,,,,,,,,,,,,,,688.793,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2005",,,,,,,,,,,,,,,,,,,,,,654.533,,,,,,,,,,,,,,,,,,,
"Sep 1, 2006",,,,,,,,,,,,,,,,,,,,,,,625.594,,,,,,,,,,,,,,,,,,
"Sep 1, 2007",,,,,,,,,,,,,,,,,,,,,,,,639.395,,,,,,,,,,,,,,,,,
"Sep 1, 2008",,,,,,,,,,,,,,,,,,,,,,,,,620.47,,,,,,,,,,,,,,,,
"Sep 1, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,595.476,,,,,,,,,,,,,,,
"Sep 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,516.29,,,,,,,,,,,,,,
"Sep 1, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,565.999,,,,,,,,,,,,,
"Sep 1, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.495,,,,,,,,,,,,
"Sep 1, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.346,,,,,,,,,,,
"Sep 1, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.311,,,,,,,,,,
"Sep 1, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.296,,,,,,,,,
"Sep 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.894,,,,,,,,
"Sep 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,549.319",,,,,,,
"Sep 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.886,,,,,,
"Sep 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.798,,,,,
"Sep 1, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.829,,,,
"Sep 1, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.906,,,
"Sep 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.29,,
"Sep 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.538,
"Sep 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.461
