system:time_start,NDVI 1985-09-01,NDVI 1986-09-01,NDVI 1987-09-01,NDVI 1988-09-01,NDVI 1989-09-01,NDVI 1990-09-01,NDVI 1991-09-01,NDVI 1992-09-01,NDVI 1993-09-01,NDVI 1994-09-01,NDVI 1995-09-01,NDVI 1996-09-01,NDVI 1997-09-01,NDVI 1998-09-01,NDVI 1999-09-01,NDVI 2000-09-01,NDVI 2001-09-01,NDVI 2002-09-01,NDVI 2003-09-01,NDVI 2004-09-01,NDVI 2005-09-01,NDVI 2006-09-01,NDVI 2007-09-01,NDVI 2008-09-01,NDVI 2009-09-01,NDVI 2010-09-01,NDVI 2011-09-01,NDVI 2012-09-01,NDVI 2013-09-01,NDVI 2014-09-01,NDVI 2015-09-01,NDVI 2016-09-01,NDVI 2017-09-01,NDVI 2018-09-01,NDVI 2019-09-01,NDVI 2020-09-01,NDVI 2021-09-01,NDVI 2022-09-01,NDVI 2023-09-01,NDVI 2024-09-01
"Sep 1, 1985",868.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1986",,855.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1987",,,869.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1988",,,,733.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1989",,,,,801.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1990",,,,,,451.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1991",,,,,,,824.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1992",,,,,,,,784.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1993",,,,,,,,,820.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1994",,,,,,,,,,869.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1995",,,,,,,,,,,896.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1996",,,,,,,,,,,,864.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1997",,,,,,,,,,,,,873.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1998",,,,,,,,,,,,,,890.271,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1999",,,,,,,,,,,,,,,477.755,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2000",,,,,,,,,,,,,,,,827.762,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2001",,,,,,,,,,,,,,,,,755.579,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2002",,,,,,,,,,,,,,,,,,580.04,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2003",,,,,,,,,,,,,,,,,,,857.795,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2004",,,,,,,,,,,,,,,,,,,,839.743,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2005",,,,,,,,,,,,,,,,,,,,,887.594,,,,,,,,,,,,,,,,,,,
"Sep 1, 2006",,,,,,,,,,,,,,,,,,,,,,895.315,,,,,,,,,,,,,,,,,,
"Sep 1, 2007",,,,,,,,,,,,,,,,,,,,,,,791.424,,,,,,,,,,,,,,,,,
"Sep 1, 2008",,,,,,,,,,,,,,,,,,,,,,,,744.389,,,,,,,,,,,,,,,,
"Sep 1, 2009",,,,,,,,,,,,,,,,,,,,,,,,,799.663,,,,,,,,,,,,,,,
"Sep 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,837.098,,,,,,,,,,,,,,
"Sep 1, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,824.31,,,,,,,,,,,,,
"Sep 1, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,793.935,,,,,,,,,,,,
"Sep 1, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.633,,,,,,,,,,,
"Sep 1, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.582,,,,,,,,,,
"Sep 1, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.469,,,,,,,,,
"Sep 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.116,,,,,,,,
"Sep 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.59,,,,,,,
"Sep 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.471,,,,,,
"Sep 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.941,,,,,
"Sep 1, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.313,,,,
"Sep 1, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.659,,,
"Sep 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.928,,
"Sep 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.374,
"Sep 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.014
