system:time_start,NDVI 1984-09-01,NDVI 1985-09-01,NDVI 1986-09-01,NDVI 1987-09-01,NDVI 1988-09-01,NDVI 1989-09-01,NDVI 1990-09-01,NDVI 1991-09-01,NDVI 1992-09-01,NDVI 1993-09-01,NDVI 1994-09-01,NDVI 1995-09-01,NDVI 1996-09-01,NDVI 1997-09-01,NDVI 1998-09-01,NDVI 1999-09-01,NDVI 2000-09-01,NDVI 2001-09-01,NDVI 2002-09-01,NDVI 2003-09-01,NDVI 2004-09-01,NDVI 2005-09-01,NDVI 2006-09-01,NDVI 2007-09-01,NDVI 2008-09-01,NDVI 2009-09-01,NDVI 2010-09-01,NDVI 2011-09-01,NDVI 2012-09-01,NDVI 2013-09-01,NDVI 2014-09-01,NDVI 2015-09-01,NDVI 2016-09-01,NDVI 2017-09-01,NDVI 2018-09-01,NDVI 2019-09-01,NDVI 2020-09-01,NDVI 2021-09-01,NDVI 2022-09-01,NDVI 2023-09-01,NDVI 2024-09-01
"Sep 1, 1984",494.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1985",,428.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1986",,,768.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1987",,,,758.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1988",,,,,418.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1989",,,,,,747.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1990",,,,,,,475.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1991",,,,,,,,762.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1992",,,,,,,,,826.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1993",,,,,,,,,,783.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1994",,,,,,,,,,,791.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1995",,,,,,,,,,,,791.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1996",,,,,,,,,,,,,856.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1997",,,,,,,,,,,,,,777.653,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1998",,,,,,,,,,,,,,,869.427,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1999",,,,,,,,,,,,,,,,819.068,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2000",,,,,,,,,,,,,,,,,836.973,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2001",,,,,,,,,,,,,,,,,,707.354,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2002",,,,,,,,,,,,,,,,,,,807.703,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2003",,,,,,,,,,,,,,,,,,,,818.068,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2004",,,,,,,,,,,,,,,,,,,,,812.581,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2005",,,,,,,,,,,,,,,,,,,,,,828.609,,,,,,,,,,,,,,,,,,,
"Sep 1, 2006",,,,,,,,,,,,,,,,,,,,,,,853.513,,,,,,,,,,,,,,,,,,
"Sep 1, 2007",,,,,,,,,,,,,,,,,,,,,,,,749.943,,,,,,,,,,,,,,,,,
"Sep 1, 2008",,,,,,,,,,,,,,,,,,,,,,,,,804.403,,,,,,,,,,,,,,,,
"Sep 1, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,850.91,,,,,,,,,,,,,,,
"Sep 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,869.34,,,,,,,,,,,,,,
"Sep 1, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,713.043,,,,,,,,,,,,,
"Sep 1, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.892,,,,,,,,,,,,
"Sep 1, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.237,,,,,,,,,,,
"Sep 1, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.639,,,,,,,,,,
"Sep 1, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.337,,,,,,,,,
"Sep 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.924,,,,,,,,
"Sep 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.45,,,,,,,
"Sep 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.187,,,,,,
"Sep 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.645,,,,,
"Sep 1, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.839,,,,
"Sep 1, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.792,,,
"Sep 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.392,,
"Sep 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.797,
"Sep 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.583
